time,QI_CIT@PV,QI_P14@PV,QI_P11@PV,QI_P12@PV,QI_P15@PV,QI_P17@PV,QI_P21@PV,QI_P21_2@PV,QI_P48@PV,QI_P52@PV,QI_P53@PV,QI_P54@PV,QI_P55@PV,QI_P56@PV,QI_P58@PV,QI_P60_1@PV,QI_P60_2@PV,QI_P60_3@PV,QI_P51@PV,QI_P06@PV,QI_P21_TOT@PV,QI_P03@PV,QI_P50@PV,QI_P18@PV
2021-09-26 00:01:00,57.8148,83.231499,300.711,51.712299,47.0,37.0,58.0,4.0,236.0,22.0,14.0,15.0,18.0,20.0,69.0,100.214,202.383,2.5099001,0.0,6.9391599,61.1106,60.381001,3.3141201,14.487
2021-09-26 00:02:00,58.426399,87.425598,314.52701,52.308998,48.0,17.0,61.0,4.0,234.0,23.0,14.0,15.0,17.0,21.0,73.0,100.67,201.71001,2.5968699,0.0,6.1142802,64.326103,58.429199,7.5655098,1.2371
2021-09-26 00:03:00,58.200199,89.950203,317.84698,52.376999,52.0,33.0,60.0,4.0,233.0,23.0,14.0,15.0,18.0,19.0,72.0,100.397,201.261,5.2624502,0.0,5.5351901,63.403301,58.336601,3.1484399,19.5807
2021-09-26 00:04:00,59.059502,86.190498,314.91501,52.442101,132.0,14.0,59.0,4.0,232.0,23.0,14.0,15.0,19.0,20.0,71.0,99.546303,200.588,5.5546899,0.0,5.3531699,62.965099,46.111599,7.0425301,0.473214
2021-09-26 00:05:00,58.7234,77.403503,309.29501,52.578899,1.0,35.0,59.0,4.0,231.0,27.0,14.0,15.0,30.0,19.0,67.0,102.044,200.588,5.6777501,0.0,5.4159999,62.488098,38.674999,4.2395802,17.2498
2021-09-26 00:06:00,58.387901,75.517303,314.608,52.381901,56.0,14.0,60.0,4.0,215.0,24.0,14.0,15.0,43.0,21.0,56.0,102.9,199.91499,4.68606,0.0,5.9197698,62.180599,32.088699,4.8337998,0.473214
2021-09-26 00:07:00,59.2407,76.916702,315.37,60.941799,23.0,37.0,58.0,5.0,218.0,29.0,14.0,15.0,28.0,20.0,66.0,102.673,203.056,2.52351,0.0,6.6547599,63.849602,31.0741,6.7718701,17.962999
2021-09-26 00:08:00,58.0923,70.634903,304.853,81.620399,24.0,18.0,58.0,2.0,220.0,25.0,14.0,15.0,19.0,20.0,75.0,103.72,223.474,2.4175301,0.0,6.60185,59.803398,31.387699,3.3289399,0.464286
2021-09-26 00:09:00,59.508099,61.291199,300.54599,94.996002,26.0,35.0,58.0,5.0,217.0,25.0,14.0,15.0,18.0,20.0,73.0,102.994,233.347,3.9895101,0.0,5.37778,63.1492,36.732498,6.98212,19.246401
2021-09-26 00:10:00,59.020302,56.8125,302.82401,96.751297,26.0,17.0,59.0,3.0,220.0,21.0,14.0,15.0,18.0,20.0,69.0,107.964,237.61,4.3533201,0.0,5.0798202,61.396,33.980999,3.07812,1.0276099
2021-09-26 00:11:00,59.752602,56.0714,291.978,108.521,26.0,37.0,60.0,4.0,219.0,21.0,14.0,15.0,18.0,20.0,62.0,107.639,238.95599,5.2381001,0.0,4.8119001,63.870602,31.491501,5.44942,24.3127
2021-09-26 00:12:00,58.126701,52.9286,302.44501,166.827,31.0,23.0,64.0,3.0,226.0,21.0,14.0,15.0,39.0,20.0,61.0,108.125,239.629,5.6842799,0.0,5.46627,67.718498,40.861,2.9037001,5.8624301
2021-09-26 00:13:00,57.6488,52.8214,317.29099,183.004,36.0,34.0,64.0,3.0,233.0,20.0,14.0,15.0,47.0,20.0,68.0,104.778,241.64799,3.15134,0.0,6.50774,66.115097,31.406401,6.7828698,11.7411
2021-09-26 00:14:00,57.111099,54.669601,314.36801,138.655,38.0,23.0,63.0,3.0,236.0,22.0,14.0,15.0,27.0,20.0,73.0,104.818,245.01401,3.54792,0.0,7.5862398,66.800903,46.174801,4.0276599,15.2199
2021-09-26 00:15:00,56.540199,55.760399,315.056,140.757,38.0,19.0,55.0,5.0,234.0,22.0,14.0,15.0,18.0,19.0,69.0,104.413,243.668,5.4563498,0.0,7.3817501,63.400002,43.832199,4.4798002,0.669312
2021-09-26 00:16:00,56.370399,55.092602,313.89301,127.969,37.0,21.0,54.0,3.0,231.0,23.0,13.0,15.0,17.0,20.0,65.0,103.845,243.892,5.6098199,0.0,6.6083298,56.403301,49.594898,6.1456599,19.3682
2021-09-26 00:17:00,56.139999,54.5476,319.36899,120.94,45.0,29.0,54.0,3.0,233.0,24.0,13.0,15.0,17.0,20.0,65.0,104.574,245.687,3.1782701,0.0,5.8259301,56.914001,44.748501,3.3092,0.47619
2021-09-26 00:18:00,56.381001,54.741199,325.79901,112.333,45.0,27.0,54.0,4.0,232.0,28.0,13.0,15.0,16.0,19.0,73.0,104.452,247.70599,2.4645801,0.0,5.3396802,57.7803,41.7738,4.6479201,17.4695
2021-09-26 00:19:00,56.674599,65.091301,330.091,109.008,45.0,19.0,55.0,4.0,234.0,24.0,13.0,15.0,27.0,20.0,72.0,104.858,248.379,3.7104199,0.0,4.87362,58.637501,26.242399,2.97153,0.436508
2021-09-26 00:20:00,56.728699,80.091103,323.16199,106.878,47.0,32.0,50.0,5.0,237.0,22.0,13.0,15.0,39.0,19.0,71.0,104.534,247.258,5.3968301,0.0,5.6511898,56.4659,36.415501,6.8435202,19.5247
2021-09-26 00:21:00,57.068401,90.651802,332.52301,107.273,50.0,30.0,51.0,3.0,256.0,20.0,13.0,14.0,35.0,20.0,68.0,102.83,244.116,5.3392901,0.0,6.4464302,55.1101,42.154598,0.832928,0.55563802
2021-09-26 00:22:00,57.036999,94.347504,324.53299,104.663,51.0,24.0,52.0,4.0,257.0,19.0,12.0,14.0,17.0,20.0,58.0,102.95,241.424,4.4498,0.0,6.4269199,55.7197,44.5518,6.9335599,18.0718
2021-09-26 00:23:00,58.148102,95.575897,332.42899,93.115097,52.0,21.0,53.0,4.0,260.0,20.0,13.0,14.0,16.0,20.0,73.0,103.309,240.078,3.64938,0.0,6.1492701,57.202499,58.253201,3.00174,1.3586299
2021-09-26 00:24:00,58.173302,82.061501,331.54199,88.742996,50.0,24.0,53.0,5.0,257.0,20.0,13.0,14.0,16.0,20.0,74.0,104.386,240.078,2.44206,0.0,5.9097199,58.021301,55.5173,4.2656202,10.2093
2021-09-26 00:25:00,59.2262,77.035896,326.21799,90.370399,51.0,21.0,53.0,5.0,258.0,20.0,13.0,14.0,16.0,20.0,73.0,105.565,240.526,2.8415899,0.0,5.7046299,58.013302,49.7085,5.4703102,10.8414
2021-09-26 00:26:00,57.905899,72.453697,301.07199,87.936501,51.0,26.0,53.0,3.0,255.0,24.0,13.0,14.0,16.0,20.0,70.0,107.015,240.078,5.3861098,0.0,5.1578698,56.600899,45.989601,4.5816002,5.2181702
2021-09-26 00:27:00,58.368401,71.392403,297.48001,87.749001,60.0,20.0,55.0,3.0,274.0,24.0,13.0,14.0,36.0,19.0,64.0,104.626,239.17999,5.5317502,0.0,5.9309502,56.973999,29.0506,4.5590301,14.567
2021-09-26 00:28:00,57.205399,57.754601,301.48901,84.668999,58.0,29.0,55.0,5.0,270.0,24.0,13.0,14.0,32.0,19.0,70.0,91.382896,240.078,5.6918402,0.0,6.5441799,59.547501,37.2262,2.88148,3.9841299
2021-09-26 00:29:00,57.673599,53.4636,304.901,84.444504,58.0,36.0,55.0,5.0,267.0,29.0,13.0,14.0,21.0,20.0,76.0,98.399498,240.75101,4.1708298,0.0,6.4193101,60.017399,36.648602,6.6805501,19.099501
2021-09-26 00:30:00,55.945801,51.053398,305.34799,80.205002,57.0,36.0,58.0,3.0,271.0,26.0,13.0,14.0,15.0,18.0,83.0,99.768501,240.75101,2.5325899,0.0,6.3333302,61.188,39.221901,2.9189799,0.708085
2021-09-26 00:31:00,57.500702,51.4911,310.10001,69.191101,58.0,33.0,58.0,3.0,271.0,25.0,13.0,14.0,15.0,20.0,81.0,98.000999,241.424,2.6126499,0.0,6.2222199,61.254501,41.904202,5.9053202,24.7619
2021-09-26 00:32:00,55.7616,48.979,305.435,67.624702,57.0,38.0,56.0,3.0,268.0,22.0,13.0,14.0,15.0,20.0,64.0,99.738098,242.097,5.3063002,0.0,6.43472,59.244499,48.659599,2.9638901,0.53869098
2021-09-26 00:33:00,56.924599,50.173901,295.95599,67.762703,57.0,35.0,58.0,5.0,268.0,19.0,13.0,14.0,16.0,19.0,64.0,96.465599,241.873,5.4576402,0.0,6.2666702,62.932899,63.520599,6.57338,22.5
2021-09-26 00:34:00,55.542301,50.519798,286.10599,67.317001,56.0,33.0,59.0,5.0,267.0,20.0,12.0,14.0,34.0,19.0,73.0,104.787,242.77,4.5726199,0.0,7.1166701,64.638496,54.455898,2.5531199,0.50992101
2021-09-26 00:35:00,56.798901,64.710297,293.33301,67.387604,57.0,23.0,61.0,5.0,269.0,24.0,12.0,14.0,31.0,20.0,74.0,104.351,242.995,4.5,0.0,6.6507902,65.930603,49.357101,4.8599,19.7286
2021-09-26 00:36:00,55.5093,67.592598,296.50201,72.010101,57.0,40.0,60.0,4.0,265.0,23.0,12.0,14.0,17.0,18.0,73.0,100.994,242.77,2.61429,0.0,5.8380299,64.377197,46.515999,6.2932301,1.29423
2021-09-26 00:37:00,51.294601,70.973503,293.983,73.169601,56.0,32.0,61.0,4.0,264.0,23.0,12.0,14.0,16.0,20.0,70.0,99.550301,242.097,2.38393,0.0,5.1974201,64.5606,52.1423,3.1496501,17.569401
2021-09-26 00:38:00,49.5215,76.442497,295.785,73.777802,56.0,43.0,59.0,3.0,266.0,24.0,13.0,14.0,16.0,21.0,57.0,101.949,242.097,5.1792898,0.0,5.0562901,63.865799,42.2813,6.5949101,7.3333302
2021-09-26 00:39:00,49.9048,89.375,301.03299,77.777802,55.0,21.0,63.0,5.0,263.0,24.0,13.0,14.0,16.0,20.0,73.0,102.262,241.2,5.5486898,0.0,5.1536999,68.042099,40.531898,3.0379601,8.7301598
2021-09-26 00:40:00,51.4352,97.708801,316.55399,78.720299,56.0,36.0,63.0,5.0,249.0,28.0,14.0,14.0,17.0,19.0,75.0,102.167,240.078,5.6604199,0.0,5.7341299,67.654404,46.255199,4.8125,20.1231
